,id,streams,title,date,artists,artist_id
76,1JSTJqkT5qHq8MDJnJbRE1,2538800901,Every Breath You Take,1983,The Police,5NGO30tJxFlKixkPSgXcFE
77,68Dni7IE4VyPkTOH9mRWHr,2531389981,No Role Modelz,2014,J. Cole,6l3HvQ5sa6mXTsMTB19rO5
78,5FVd6KXrgO9B3JPmC8OPst,2509463217,Do I Wanna Know?,2013,Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH
79,5Z01UMMf7V1o0MzF86s6WJ,2501098874,Lose Yourself,2005,Eminem,7dGJo4pcD2V6oG8kP0tJRR
80,28fcoPvJpZcEcpqCMpbkFf%MOD,2498855054,Let Her Go,2013,Passenger,0gadJ2b9A4SKsB1RFkBb66
82,6ocbgoVGwYJhOv1GgI9NsF,2492650504,7 rings,2019,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR
83,60a0Rd6pjrkxjPbaKzXjfq,2485258784,In the End,2000,Linkin Park,6XyY86QOPPrYVGvF9ch6wz
84,7DSAEUvxU8FajXtRloy8M0,2473201267,Flowers,2023,Miley Cyrus,5YGY8feqx7naU7z4HrwZM6
85,3B54sVLJ402zGa6Xm4YGNe,2441250276,Unforgettable,2017,French Montana,6vXTefBL93Dj5IqAWq6OTv
86,3B54sVLJ402zGa6Xm4YGNe,2441250276,Unforgettable,2017,Swae Lee,1zNqQNIdeOUZHb8zbZRFMX
87,3QGsuHI8jO1Rx4JWLUh9jd,2439869400,Treat You Better,2017,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr
88,5wANPM4fQCJwkGd4rN57mH,2439134621,drivers license,2021,Olivia Rodrigo,1McMsnEElThX1knmY4oliG
89,0lYBSQXN6rCTvUZvg9S0lU,2437519412,Let Me Love You,2016,DJ Snake,540vIaP2JwjQb9dm3aArA4
90,0lYBSQXN6rCTvUZvg9S0lU,2437519412,Let Me Love You,2016,Justin Bieber,1uNFoZAHBGtllmzznpCI3s
91,1Qrg8KqiBpW07V7PNxwwwL,2422711394,Kill Bill,2022,SZA,7tYKF4w9nC0nq9CsPZTHyP
92,7ef4DlsgrMEH11cDZd32M6,2408536140,One Kiss (with Dua Lipa),2018,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we
93,7ef4DlsgrMEH11cDZd32M6,2408536140,One Kiss (with Dua Lipa),2018,Calvin Harris,7CajNmpbOovFoOoasH2HaY
94,4ZtFanR9U6ndgddUvNcjcG,2383888684,good 4 u,2021,Olivia Rodrigo,1McMsnEElThX1knmY4oliG
95,09CtPGIpYB4BrO8qb1RGsF,2374448971,Sorry,2015,Justin Bieber,1uNFoZAHBGtllmzznpCI3s
96,7BqHUALzNBTanL6OvsqmC1,2362060657,Happier,2018,Bastille,7EQ0qTo7fWT7DPxmxtSYEc
97,7BqHUALzNBTanL6OvsqmC1,2362060657,Happier,2018,Marshmello,64KEffDW9EtZ1y2vBYgq8T
98,3ee8Jmje8o58CHK66QrVC2,2357423785,SAD!,2018,XXXTENTACION,15UsOTVnJzReFVN1VCnxy4
99,7JJmb5XwzOO8jgpou264Ml,2350425998,There's Nothing Holdin' Me Back,2017,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr
100,7m9OqQk4RVRkw9JJdeAw96,2344557628,Jocelyn Flores,2017,XXXTENTACION,15UsOTVnJzReFVN1VCnxy4
101,5RKQ5NdjSh2QzD4MaunT91,2338948203,Don't Stop Believin' (2022 Remaster),1981,Journey,0rvjqX7ttXeg3mTy8Xscbt
102,5ghIJDpPoe3CfHMGu71E6T,2334451751,Smells Like Teen Spirit,1991,Nirvana,6olE6TJLqED3rqDCT0FyPh
103,2xLMifQCjDGFmkHkpNLD9h,2328361354,SICKO MODE,2018,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY
104,6zSpb8dQRaw0M1dK8PBwQz,2317676808,Cold Heart - PNAU Remix,2021,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we
105,6zSpb8dQRaw0M1dK8PBwQz,2317676808,Cold Heart - PNAU Remix,2021,PNAU,6n28c9qs9hNGriNa72b26u
106,6zSpb8dQRaw0M1dK8PBwQz,2317676808,Cold Heart - PNAU Remix,2021,Elton John,3PhoLpVuITZKcymswpck5b
107,7GX5flRQZVHRAGd6B4TmDO,2313996213,XO Tour Llif3,2017,Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz
108,01aTsQoKoeXofSTvKuunzv,2309084037,Lean On,2015,Major Lazer,738wLrAtLtCtFOLvQBXOXp
109,01aTsQoKoeXofSTvKuunzv,2309084037,Lean On,2015,DJ Snake,540vIaP2JwjQb9dm3aArA4
110,01aTsQoKoeXofSTvKuunzv,2309084037,Lean On,2015,MØ,0bdfiayQAKewqEvaU6rXCv
111,6YckHetPOkzxtXXaYx0Gt1%MOD,2296594436,Save Your Tears,2024,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ
115,7ygpwy2qP3NbrxVkHvUhXY,2284376907,Wonderwall - Remastered,1995,Oasis,2DaxqgrOhkeH0fpeiQq2f4
116,2ekn2ttSfGqwhhate0LSR0,2278037296,New Rules,2017,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we
117,0v2boHmWtxMTD2REGN8MbK%MOD,2277026899,Levitating (feat. DaBaby),2021,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we
118,0v2boHmWtxMTD2REGN8MbK%MOD,2277026899,Levitating (feat. DaBaby),2021,DaBaby,4r63FhuTkUYltbVAg5TQnk
119,1mXVgsBdtIVeCLJnSnmtdV,2271063551,Too Good At Goodbyes,2017,Sam Smith,2wY79sveU1sp5g7SokKOiI
