Streams,Title,Artists,URI,Artist URIs
4723351692,Blinding Lights,['The Weeknd'],spotify:track:0VjIjW4GlUZAMYd2vXMi3b,['spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ']
4236865366,Shape of You,['Ed Sheeran'],spotify:track:7qiZfU4dY1lWllzX7mPBI3,['spotify:artist:6eUKZXaKkcviH0Ku9w2n3V']
3810260002,Someone You Loved,['Lewis Capaldi'],spotify:track:7qEHsqek33rTcFNT9PFqLf,['spotify:artist:4GNC7GD6oZMSxPGyXy4MNB']
3771755743,As It Was,['Harry Styles'],spotify:track:4Dvkj6JhhA12EX05fT7y2e,['spotify:artist:6KImCVD70vtIoJWnq6nGn3']
3761560923,Starboy,"['The Weeknd', 'Daft Punk']",spotify:track:7MXVkk9YMctZqd1Srtv4MB,"['spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ', 'spotify:artist:4tZwfgrHOc3mvqYlEYSvVi']"
3719598841,Sunflower,"['Post Malone', 'Swae Lee']",spotify:track:3KkXRkHbMCARz0aVfEt68P,"['spotify:artist:246dkjvS1zLTtiykXe5h60', 'spotify:artist:1zNqQNIdeOUZHb8zbZRFMX']"
3596166667,Sweater Weather,['The Neighbourhood'],spotify:track:2QjOHCTQ1Jl3zawyYOpxh6,['spotify:artist:77SW9BnxLY8rJ0RciFqkHh']
3540449235,One Dance,"['Drake', 'Wizkid', 'Kyla']",spotify:track:1zi7xx7UVEFkmKfv06H8x0,"['spotify:artist:3TVXtAsR1Inumwj472S9r4', 'spotify:artist:3tVQdUvClmAT7URs9V3rsp', 'spotify:artist:6TK7fjRPdy2GW2pJzNF23L']"
3474619809,STAY,"['The Kid LAROI', 'Justin Bieber']",spotify:track:567e29TDzLwZwfDuEpGTwo,"['spotify:artist:2tIP7SsRs7vjIcLrU85W8J', 'spotify:artist:1uNFoZAHBGtllmzznpCI3s']"
3337781334,Believer,['Imagine Dragons'],spotify:track:0pqnGHJpmpxLKifKRmU6WP,['spotify:artist:53XhwfbYqKCa1cC15pYq2q']
3310605996,Perfect,['Ed Sheeran'],spotify:track:0tgVpDi06FyKpA1z0VMD4v,['spotify:artist:6eUKZXaKkcviH0Ku9w2n3V']
3299931595,Heat Waves,['Glass Animals'],spotify:track:3USxtqRwSYz57Ewm6wWRMp,['spotify:artist:4yvcSjfu4PC0CYQyLy4wSq']
3219318426,Dance Monkey,['Tones And I'],spotify:track:2XU0oxnq2qxCpomAAuJY8K,['spotify:artist:2NjfBq1NflQcKSeiDooVjY']
3208170572,lovely,"['Billie Eilish', 'Khalid']",spotify:track:0u2P5u6lvoDfwTYjAADbn4,"['spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH', 'spotify:artist:6LuN9FCkKOj5PcnpouEgny']"
3175376028,Say You Won't Let Go,['James Arthur'],spotify:track:5uCax9HTNlzGybIStD3vDh,['spotify:artist:4IWBUUAFIplrNtaOHcJPRM']
3160881752,Closer,"['The Chainsmokers', 'Halsey']",spotify:track:7BKLCZ1jbUBVqRi2FVlTVw,"['spotify:artist:69GGBxA162lTqCwzJG5jLp', 'spotify:artist:26VFTg2z8YR0cCuwLzESi2']"
3125980876,rockstar,"['Post Malone', '21 Savage']",spotify:track:0e7ipj03S05BNilyu5bRzt,"['spotify:artist:246dkjvS1zLTtiykXe5h60', 'spotify:artist:1URnnhqYAYcrqrcwql10ft']"
3028925257,Something Just Like This,"['The Chainsmokers', 'Coldplay']",spotify:track:6RUKPb4LETWmmr3iAEQktW,"['spotify:artist:69GGBxA162lTqCwzJG5jLp', 'spotify:artist:4gzpq5DPGxSnKTe4SA8HAU']"
2983377843,Riptide,['Vance Joy'],spotify:track:2uXlHCUbq9OMUwx3hrk06o,['spotify:artist:10exVja0key0uqUkk6LJRT']
2943546439,Watermelon Sugar,['Harry Styles'],spotify:track:6UelLqGlWMcVH1E5c4H7lY,['spotify:artist:6KImCVD70vtIoJWnq6nGn3']
2942228935,Señorita,"['Shawn Mendes', 'Camila Cabello']",spotify:track:6v3KW9xbzN5yKLt9YKDYA2,"['spotify:artist:7n2wHs1TKAczGzO7Dd2rGr', 'spotify:artist:4nDoRrQiYLoBzwC5BhVJzF']"
2915213499,Take Me to Church,['Hozier'],spotify:track:1CS7Sd1u5tWkstBhpssyjP,['spotify:artist:2FXC3k01G6Gw61bmprjgqS']
2902139043,Another Love,['Tom Odell'],spotify:track:3JvKfv6T31zO0ini8iNItO,['spotify:artist:2txHhyCwHjUEpJjWrEyqyX']
2856583242,Don't Start Now,['Dua Lipa'],spotify:track:3PfIrDoz19wz7qK7tYeu62,['spotify:artist:6M2wZ9GZgrQXHCFfjv46we']
2856179962,I Wanna Be Yours,['Arctic Monkeys'],spotify:track:5XeFesFbtLpXzIVDNQP22n,['spotify:artist:7Ln80lUS6He07XvHI8qqHH']
2850853772,Yellow,['Coldplay'],spotify:track:3AJwUDP919kvQ9QcozQPxg,['spotify:artist:4gzpq5DPGxSnKTe4SA8HAU']
2843294765,Counting Stars,['OneRepublic'],spotify:track:2tpWsVSb9UEmDRxAl1zhX1,['spotify:artist:5Pwc4xIPtQLFEnJriah9YJ']
2810374312,Lucid Dreams,['Juice WRLD'],spotify:track:285pBltuF7vW8TeWk8hdRR,['spotify:artist:4MCBfE4596Uoi2O4DtmEMz']
2810127061,Photograph,['Ed Sheeran'],spotify:track:1HNkqx9Ahdgi1Ixy2xkKkL,['spotify:artist:6eUKZXaKkcviH0Ku9w2n3V']
2794902331,The Night We Met,['Lord Huron'],spotify:track:0QZ5yyl6B6utIWkxeBDxQN,['spotify:artist:6ltzsmQQbmdoHHbLZ4ZN25']
2778579221,Cruel Summer,['Taylor Swift'],spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,['spotify:artist:06HL4z0CvFAxyc27GXpf02']
2744085997,Circles,['Post Malone'],spotify:track:21jGcNKet2qwijlDFuPiPb,['spotify:artist:246dkjvS1zLTtiykXe5h60']
2742591570,goosebumps,['Travis Scott'],spotify:track:6gBFPUFcJLzWGx4lenP6h2,['spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY']
2715680587,Bohemian Rhapsody,['Queen'],spotify:track:7tFiyTwD0nx5a1eklYtX2J,['spotify:artist:1dfeR4HaWDbWqFHLkxsg1d']
2715655357,God's Plan,['Drake'],spotify:track:6DCZcSspjsKoFjzjrWoCdn,['spotify:artist:3TVXtAsR1Inumwj472S9r4']
